way_point_1	way_point_2	distance_meters	duration_minutes
Imam Sadiq University, Tehran, Tehran Province	Iran University of Medical Sciences	4484	11.25
Imam Sadiq University, Tehran, Tehran Province	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	14258	20.883333333333333
Imam Sadiq University, Tehran, Tehran Province	Tarbiat Modares University, Tehran, Tehran Province	10500	16.316666666666666
Shahed University, Tehran, Tehran Province	Imam Sadiq University, Tehran, Tehran Province	13144	26.666666666666668
Imam Sadiq University, Tehran, Tehran Province	Kharazmi University, Tehran, Tehran Province	13777	27.716666666666665
Imam Sadiq University, Tehran, Tehran Province	Alzahra University	4570	12.1
Imam Sadiq University, Tehran, Tehran Province	Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	14730	27.35
Imam Sadiq University, Tehran, Tehran Province	Institute for management and planning studies, Shafei, Tehran, Tehran Province	19514	33.916666666666664
Institute for Studies in Theoretical Physics and Mathematics	Imam Sadiq University, Tehran, Tehran Province	18511	30.95
Imam Sadiq University, Tehran, Tehran Province	Iran Polymer and Petrochemical Institute	26962	29.55
Imam Sadiq University, Tehran, Tehran Province	Police University Amin	16257	22.733333333333334
shahid rajaee teacher training university	Imam Sadiq University, Tehran, Tehran Province	14616	21.516666666666666
Iran University of Medical Sciences	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	14272	18.316666666666666
Iran University of Medical Sciences	Tarbiat Modares University, Tehran, Tehran Province	6627	8.35
Shahed University, Tehran, Tehran Province	Iran University of Medical Sciences	9271	18.7
Kharazmi University, Tehran, Tehran Province	Iran University of Medical Sciences	9300	17.133333333333333
Iran University of Medical Sciences	Alzahra University	5082	8.583333333333334
Iran University of Medical Sciences	Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	10857	19.383333333333333
Iran University of Medical Sciences	Institute for management and planning studies, Shafei, Tehran, Tehran Province	14474	28.9
Institute for Studies in Theoretical Physics and Mathematics	Iran University of Medical Sciences	13640	26.483333333333334
Iran University of Medical Sciences	Iran Polymer and Petrochemical Institute	25563	22.9
Iran University of Medical Sciences	Police University Amin	16902	18.316666666666666
shahid rajaee teacher training university	Iran University of Medical Sciences	12983	17.9
Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	Tarbiat Modares University, Tehran, Tehran Province	17318	21.8
Shahed University, Tehran, Tehran Province	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	17474	24.2
Kharazmi University, Tehran, Tehran Province	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	14270	19.0
Alzahra University	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	11830	18.716666666666665
